目录名称,新目录,歌曲目录名称,歌曲名称,PP值-容易,PP值-通常,PP值-困难,PP值-专家,PP值-噩梦,难度-容易,难度-通常,难度-困难,难度-专家,难度-噩梦,hash
萌新曲,,"1db6 (Setsuna Imitation (feat. Yurica, Hanatan) - Saut)","Setsuna Imitation (feat. Yurica, Hanatan)  - Yairi[Saut]",,64.307,144.391,200.58,325.345,,1.39,3.15,4.5,7.36,196D1061EAC3CD4BC586E5AFCAEA07C35F1D69D0
萌新曲,,1e1d (Silicon XX - edzo),Silicon XX - S3RL ft. Nikolett[Edzo (lighting by AaltoPahWi)],,,94.386,129.91,,,,2.05,2.86,,03BA5157516EF3179ED9CE09F0EECE7B95ECA8ED
萌新曲,,1e9c (13 (Rukkus Remix) - JackoDEJ),13 (Rukkus Remix) - Astronaut[JackoDEJ],,,,134.915,,,,,2.95,,9940853E37E69D6439CE4FBA2226DEA27833D5CD
萌新曲,,1ec9 (Another Dimension - bakuenjin),Another Dimension - Junghwan Park[Bakuenjin],,,,155.437,,,,,3.41,,F83EF9E57DE3DADF0E29F1DD470E3D10EF721196
萌新曲,,1ed1 (Sidetracked Day (Short Ver.) - hexagonial),Sidetracked Day (Short Ver.) - VINXIS[Hexagonial],,,,199.125,270.474,,,,4.42,6.09,83C08F4B86A4BBE232A8DEB9527EC6D6B24EC9AB
萌新曲,,1ef (DotA - fossilgenera),DotA - [Basshunter],,59.334,81.542,0,,,1.27,1.77,0,,DC4906A7F76965CDD2B75C72CF470344B698E352
萌新曲,,1f0 (Narcissistic Cannibal - tigerdragonb),Narcissistic Cannibal - Ft. Skrillex and Kill The Noise[Korn],,,56.518,91.555,0,,,1.25,2.02,0,FFB7514DA1F7E0399B07EBE60CF7AB18EA3BFC8B
萌新曲,,1f0d (Hyadain no Joujou Yuujou - todokete),Hyadain no Joujou Yuujou - Hyadain[Todokete],,44.483,68.092,113.077,129.019,,0.96,1.47,2.52,2.9,57E25A8D2645FE41A625C7E19AAC8FF96A619D29
萌新曲,,1f11 (g a r d e n (Short Ver.) - blackblazon),g a r d e n (Short Ver.) - DM DOKURO[BlackBlazon & Kolezan],,,,148.479,298.614,,,,3.26,6.62,4CE7BCA5960C90FE634D73F4BB8375EC6A31ADAE
萌新曲,,1f3b (Hammer o Denpa Song ni Shitemita - CoolingCloset),Hammer o Denpa Song ni Shitemita - kana[CoolingCloset],,,,,163.216,,,,,3.63,5C6C1D7CFDA4C91920CE0510FE4B43D6CA918AFF
萌新曲,,1fec (The Merchant Guild - 100k Contest - bakuenjin),The Merchant Guild - 100k Contest - Junghwan Park[Bakuenjin],30.465,42.248,77.275,0,,0.65,0.91,1.67,0,,05ADE6C52249659190140EBD4540786EF7752E06
萌新曲,,1ff0 (I can't stop - rustic),I can't stop - Flux Pavilion[Rustic],32.281,42.997,82.722,82.231,,0.69,0.92,1.78,1.78,,8D9DF176C94ECF5C7725457525B6F959F5EF9296
萌新曲,,1ffd (Senbonzakura (Short Ver.) - Kolezan),Senbonzakura (Short Ver.) - Kradness + Giga-P[Kolezan],57.709,73.182,110.985,160.289,195.836,1.24,1.59,2.42,3.52,4.33,EB28A79E2DBC80948D0EA09631E83557EA6B6735
萌新曲,,1fff (Chiru Chiru - Kolezan),Chiru Chiru - REOL[Kolezan],51.165,63.121,83.175,103.571,,1.1,1.37,1.82,2.28,,9993D9F5B03472EFA5B8B31D3DC4156301145D97
萌新曲,,204c (Indoor Kei Nara Trackmaker - hexagonial),Indoor Kei Nara Trackmaker - Yunomi & nicamoq[Hexagonial],,,,163.648,,,,,3.59,,DA30511AB750F7DF3B2E5416EACC1729F6A5D8B2
萌新曲,,210 (cYsmix - Escapism (BilliumMoto Flip) - unzor),cYsmix - Escapism (BilliumMoto Flip) - [Unzor],44.391,64.365,0,0,,1.01,1.41,0,0,,A83749111C38DD072C8ED4CB56AD0DA1F4ADDD47
萌新曲,,2120 (OKAY - hexagonial),OKAY - Tokyo Machine[Hexagonial],,,,,190.625,,,,,4.27,8BD769820F8D71EBC25964771DDC950B5EBD3AAB
萌新曲,,216 (Cut Your Teeth - freeek),Cut Your Teeth - Kygo & Kyla La Grange[Freeek],21.091,28.43,63.188,0,,0.45,0.61,1.37,0,,E1176B97EE4786F0CDFACB8770AD2B4ABDDEAF02
萌新曲,,217 (Beat it - freeek),Beat it - Michael Jackson[Freeek],18.052,29.863,78.459,0,,0.39,0.64,1.7,0,,4B2DA842B687EC4CFBC948C583C21C79D4120DE0
萌新曲,,21bb (THE BLUE - ejiejidayo),THE BLUE - M.S.S Project[ejiejidayo],,,,176.355,,,,,3.91,,DD1E4D372642EE3079BC9494D424C1294239CE78
萌新曲,,21c (Freaks - invidiasnow),Freaks - Timmy Trumpet & Savage[Invidia Snow],,68.038,85.411,0,,,1.48,1.86,0,,88153B55AA44ACB502DF9CF3871012DEE3390BB4
萌新曲,,22a (Astrogazer - D.J Totto - flandresdm),Astrogazer - D.J Totto - [D.J Totto],33.739,63.918,0,0,,0.73,1.39,0,0,,7F123B09A16FF0BDCE6B0B9182CD89C46B936A5F
萌新曲,,22d8 (Spectrum - Krydar),Spectrum - Zedd[Kry],,,,,203.218,,,,,4.44,A1563B3D664E6D58419F2D77E924C751B909EC7F
萌新曲,,233 (Witchcraft - freeek),Witchcraft - Pendulum[Freeek],19.278,31.907,79.995,0,,0.41,0.69,1.75,0,,794382D60291A704D6EA8FF43F9E0D6ADE99DB65
萌新曲,,235 (Doomsday - Nero - logomike),Doomsday - Nero - [Logomik],37.66,45.167,59.35,0,,0.81,0.97,1.28,0,,E39D28AABE102E2681C231FBFD884CC15ABFE8D3
萌新曲,,236c (Control (ft. Jex) - dorothyfeelings9),Control (ft. Jex) - Unknown Brain & Rival [Dorothyfeelings9 & ManDynasty ],,,,108.986,,,,,2.4,,45C2C1287B5789D3EB98DCEA6F87C5DEA0BC882A
萌新曲,,24 (New Style - virtualturtle),New Style - [Pegboard Nerds],,,,82.51,,,,,1.8,,067FFA3CF6C35FA8E33CB6720C85ED8A4369AD6A
萌新曲,,243b (Lifelight - todokete),"Lifelight - Hideki Sakamoto, Erina Koga, Abby Trott[Edzo & Todokete]",,,0,105.81,,,,0,2.32,,4D2559D4BE335632AE12BD53360297C6D2D58A90
萌新曲,,243c (Ocarina of Time Medley - todokete),Ocarina of Time Medley - Michiko Naruke[Todokete],,,61.929,135.649,,,,1.33,2.97,,00B539E86EA3F0B1E966544A297FB4942E499E6F
萌新曲,,243d (Flat Zone 2 - todokete),Flat Zone 2 - Kenichi Okuma[Todokete],,,55.168,82.301,142.603,,,1.19,1.78,3.14,727F16F8BEF6DDB62F7A1ABD3677737F5082A302
萌新曲,,243e (Snakey Chantey - edzo),Snakey Chantey  - Kumi Tanioka[Edzo],,,72.188,161.323,214.493,,,1.56,3.56,4.75,1CCA456BF71339F4A9B0E7BEE5EF9E6A016D20CC
萌新曲,,243f (Bomb Rush Blush (Smash Ultimate Mix) - todokete),Bomb Rush Blush (Smash Ultimate Mix) - Tomoya Ohtani[Todokete],,,49.494,102.07,204.274,,,1.07,2.22,4.52,D0B80C6F3B072791779D39A2BC637719B6E99250
萌新曲,,2440 (Staff Credits - Kirby's Dream Land - edzo),Staff Credits - Kirby's Dream Land - MASAKI[Edzo],,,87.505,0,,,,1.9,0,,76C9218878684411506B4E8F26DD2AA16E4BE6C5
萌新曲,,2441 (Crocodile Cacophony - edzo),Crocodile Cacophony  - Soshi Abe[Edzo],,,83.842,165.095,,,,1.81,3.65,,B54881C288E83036EC8A67E774926CE334798F4E
萌新曲,,2474 (Game Time - greatyazer),"Game Time - 3LAU, feat. NINJA[GreatYazer]",37.183,46.96,0,104.674,143.21,0.8,1.01,0,2.28,3.15,440C7251532EAD28F661D7DCE5750D3A3E487E7E
萌新曲,,2475 (Bring It On - Kolezan),Bring It On - Giga-P[Kolezan],47.471,62.562,89.48,121.336,,1.02,1.36,1.95,2.64,,4CB323A4340177D7B7CA74F67F6B920ED320EE5E
萌新曲,,24f4 (Lost My Pieces - TigerAW),Lost My Pieces - Yukari Hashimoto[TigerAW],,,88.707,,,,,1.94,,,717A5A49D6E3365BDD09EA4D4C22EF3CE6A89436
萌新曲,,256 (Rainbow Notes - rustic),Rainbow Notes - Approaching Nirvana[Rustic],,,64.244,111.763,,,,1.38,2.45,,3ED159A3439F52A1CBA7DE0E40FABFD9DC37BBDA
萌新曲,,257c (level One - blackblazon),level One - Dj Striden[BlackBlazon & Minty & Nolan],,,,138.032,189.528,,,,3,4.21,F2CBCAF5C58BA9F7218CC4BCB304A401F874B784
萌新曲,,"25dc (Hello, Morning (Short edit) - Kolezan)","Hello, Morning (Short edit) - Nor ft. Kizuna AI[Kolezan]",43.363,58.742,90.584,116.547,,0.93,1.27,1.97,2.55,,DE2FA331968696588DA1395E4E3414FAE13FE6C2
萌新曲,,2649 (Soar - hexagonial),Soar - Erik McClure[Hexagonial],,,,151.351,,,,,3.3,,087CEDEAB4B9E4C3A4B9C594C97BEE6F446F0A77
萌新曲,,2683 (Routine - hexagonial),Routine - Silent Siren[Hexagonial & Splake & Puds],,,,197.51,346.252,,,,4.36,7.67,AEDD974BD0B7BFAF8C9F9950BFD6368C04ADE258
萌新曲,,2693 (I Want You - ejiejidayo),I Want You - DJMAX[ejiejidayo],50.178,58.383,78.934,130.907,,1.08,1.26,1.71,2.85,,BB9DE13539A2AB9A21F7FF68A2669F7887011456
萌新曲,,26a0 (Weird Machine (ft. Nevve) (Syrex Nightcore) - ManDynasty),Weird Machine (ft. Nevve) (Syrex Nightcore) - DROELOE[ManDynasty],,52.875,80.661,109.782,,,1.14,1.76,2.39,,2CABD615FE4341A40B175F45F8FC27194D4AFD48
萌新曲,,26f6 (IGNITE - Joetastic),IGNITE - Aoi Eir[Joetastic],,,,147.564,,,,,3.21,,125B07EBCC06FE9667E83FC2D6B9AE5ECBC72E8C
萌新曲,,2711 (Courage - Joetastic),Courage - Yuuki Asuna (CV: Tomatsu Haruka) [Joetastic],,,,177.303,,,,,3.89,,D2E8521CED63CD513B70E91CD23394FCA0045842
萌新曲,,2751 ((can you) understand me - Sotarks),(can you) understand me? - Komiya Mao[Sotarks],,,,151.28,,,,,3.3,,DF27F79D91778CC141315B457D621D249C11DC6B
萌新曲,,2785 (Clear Rose - squeaksies),Clear Rose - IZMIZM[squeaksies],,,,,159.505,,,,,3.52,E195BD186A68D03BD586F50F71943D43A38D915C
萌新曲,,27d8 (Monochrome Butterfly - fraies),Monochrome Butterfly - Aitsuki Nakuru[fraies],,,0,186.472,250.488,,,0,4.1,5.49,D60CA1E3B6175D57DAC7463D532989F83C257EFB
萌新曲,,282 (Awe (One Saber) - rustic),Awe (One Saber) - prototyperaptor[Rustic],,,55.029,96.659,,,,1.19,2.14,,397F4485345E33CC0CA1212425C19274EC855740
萌新曲,,2871 (Redo (TV Size) - rogdude),Redo (TV Size) - Konomi Suzuki[Rogdude],,,,171.185,,,,,3.75,,A82D821528D118F7AB16F7B237096D6779A33056
萌新曲,,294c (CANDYYYLAND (Pa's Lam System Remix) - Saut),CANDYYYLAND (Pa's Lam System Remix) - tofubeats[Saut],68.317,110.298,176.979,224.035,281.459,1.48,2.39,3.88,5.01,6.32,061DB548E0E73A58E93835997A3B06C7C27756E6
萌新曲,,29c0 (Teopacito feat. Will Stetson - psyc0pathic),Teopacito feat. Will Stetson - Luis Fonsi ft. Daddy Yankee / R3 Music Box / Omoi[Psyc0pathic & Hexagonial],,,,,179.36,,,,,3.97,E3DAD947B390E4CDA91875543E99DE7F918E3CE3
萌新曲,,2b (A Stranger I Remain - alix),A Stranger I Remain - [Jamie Christopherson & Logan Madler],,,74.084,93.057,,,,1.6,2.02,,E9530E656D468D80BA6B5F2EF3962588236ECCC8
萌新曲,,2b4 (Happy Synthesizer - mystikmol),Happy Synthesizer  - Chart by Mystikmol[EasyPop],34.082,48.958,75.642,,0,0.74,1.05,1.64,,0,6CBE4F85271656591CF5402C3BAB3364BF8B98AA
萌新曲,,2c0 (Sick Boy (Prismo Remix) - zanqeon),Sick Boy (Prismo Remix) - The Chainsmokers[Zanqeon],,,67.982,,,,,1.71,,,1A03282973A9FF2F493CC308D0F40C3140ADB0CF
萌新曲,,2dd6 (Berry Go !! - yun0),Berry Go !! - Freezer (Feat. Kiichigo)[Yun0],,53.873,86.877,191.338,230.693,,1.16,1.88,4.17,5.06,E5F61DBD37A9CB46506C899ECC6861B6491D27DD
萌新曲,,2e9 (Blow Me Away - greatyazer),Blow Me Away - Breaking Benjamin[GreatYazer],,52.647,0,0,,,1.14,0,0,,82B8E2C82DCC84CBB5D70CF5EE545EBB145C6311
萌新曲,,2ef (Evangelion Opening - purphoros),Evangelion Opening -  A Cruel Angel's Thesis[Purphoros],,,72.461,,,,,1.57,,,8B176DE1E1CDAC314746A70E5B1F62847A7A12F2
萌新曲,,2f (Escape - rustic),Escape - Netsky feat. darrison[Rustic],,,83.28,0,,,,1.81,0,,2500A6CD5D1ABFE0AE44237BEEC2DE4BD7DAEDBA
萌新曲,,2fe (Way Back - speed),Way Back - [Vicetone ft. Cozi Zuehlsdorff],,42.067,66.226,0,,,0.91,1.43,0,,D5AF11F4C5CAED00D68CD030FE9E269B0D12EFF0
萌新曲,,301 (Cryosleep - macheezmo),Cryosleep - [Machinae Supremacy],55.911,0,0,0,,1.21,0,0,0,,6D3890AA6C534167332BFC098A0084F6FDD8E250
萌新曲,,305b (Mirai to Mirai - orangew),Mirai to Mirai - nayutalien ft. Mirai Akari[OrangeW],,,,,199.37,,,,,4.42,7DD5CB9A2E55426BC5BE81566378A5DA97D07102
萌新曲,,323 (Future Overture (Short ver.18) - drmarc),Future Overture (Short ver.18) - Mitchie M [Dr_Marc],,33.233,0,,,,0.72,0,,,F4E319DB2C4EF676A3E6C79CA9383F1C836CEF0E
萌新曲,,32d4 (MariannE (Lanota Edit) - redmagi),MariannE (Lanota Edit) - Yooh[Redmagi],43.718,50.198,76.402,121.809,257.519,0.94,1.08,1.65,2.64,5.71,AFB47D1ABB417A76A4293D29A725D6DD74D76782
萌新曲,,333 (Stadium Rave - njuline),Stadium Rave - (Jellyfish Jam)[Spongebob Squarepants],,,,104.504,,,,,2.28,,C1E37FDDA61DD63978EA65CD457810229CF02B74
萌新曲,,33a (Dragonmaid Opening - purphoros),Dragonmaid Opening - Fhána[Purphoros],,,,112,,,,,2.44,,1ECD372D412486AFD3AC3356C3333BE4E405B529
萌新曲,,33fe (Hoshi ga Matataku Konna Yoru ni - Uninstaller),Hoshi ga Matataku Konna Yoru ni - supercell[Uninstaller],,,101.558,130.227,184.527,,,2.21,2.85,4.1,D52D9C4D44C2C9CCD8AA4C27F82C96432B871E79
萌新曲,,360f (Again - squeaksies),Again - YUI[squeaksies],,,,,187.637,,,,,4.18,EC09852C974341516030D69776322DA85F9BF539
萌新曲,,36d5 (MAYDAY - oddloop),MAYDAY - TheFatRat & Laura Brehm[Oddloop],,,,131.027,,,,,2.85,,6A9042EB11D4DA0938BBDAA0F584131DEF762F4A
萌新曲,,382 (Telephone Awoo - calijor),Telephone Awoo - Telephone Number (1984)[Junko Ohashi],,,54.086,,,,,1.18,,,2B92A21BC94FDBD8FECDBC872785CE2BDC9BA89E
萌新曲,,388 (Shooting Stars (Onderkoffer Remix) - jovian),Shooting Stars (Onderkoffer Remix) - Bag Raiders[Jovian],,44.448,53.065,0,,,1.01,1.19,0,,90EA6FF40832AE26D69CE66580DCB95E4744072B
萌新曲,,38c (Wasted Love - glaciem),Wasted Love - [Lush & Simon & Gazzo],,,,95.65,,,,,2.16,,74406BAFE182AFECCEEC46CB0CD3C32B2629B639
萌新曲,,39 (Xenogenesis - mmmdoggy),Xenogenesis - [TheFatRat],,,,66.995,,,,,1.45,,DF7E75AB20B9A27960C9F95E9F2B5AD0927C46DC
萌新曲,,391 (Space Smasher - shakingace),Space Smasher - (Original)[Brett Kettler],,68.369,,,,,1.48,,,,0A5F887D9ADEC49122BE302AC01D9E29296DE7CA
萌新曲,,392 (Symphony - greatnate),Symphony - Clean Bandit[GreatNate],,,53.523,0,,,,1.15,0,,3B6E21A491136A4598B1D2FE12BA99637733A75B
萌新曲,,"39bc (World's End, Girl's Rondo (Asterisk DnB Remix) - ManDynasty)","World's End, Girl's Rondo (Asterisk DnB Remix) - Wakeshima Kanon[ManDynasty]",,58.783,86.429,124.491,216.504,,1.27,1.88,2.73,4.78,5C382E8993DE8780A39B0B77E07B0CCFE00BD3A3
萌新曲,,3aa3 (Hype feat. Such - iraky),Hype feat. Such - PSYQUI[iraky],,,171.208,240.757,394.794,,,3.74,5.33,8.88,D826FA2F751020AD7E59B1AEB3F5D2902755A406
萌新曲,,3b0 (Face to face - cxzman),Face to face - Daft Punk[CXZman],,65.503,0,0,,,1.42,0,0,,8BA8BC2465C017C7643ECC645263F03BCCFAFA64
萌新曲,,3b1 (Lethargy - greatyazer),Lethargy - Bastille[GreatYazer],,46.128,84.811,0,0,,0.99,1.84,0,0,BC3F366CEE6C92D32B022CF4DBF41797EA26E319
萌新曲,,3c89 (99.9 - todokete),99.9 - MOB CHOIR feat. sajou no hana[Todokete],,48.061,79.89,0,0,,1.03,1.73,0,0,15BA13D183C824F46D2FC68FF5D6BA52CED1FAD5
萌新曲,,3c8f (Majesty (ft. Veela) - ManDynasty),Majesty (ft. Veela) - Ben Moon[ManDynasty],,57.429,83.008,131.432,0,,1.24,1.8,2.86,0,E1E30AF04360132974CACBC604496FA38E2A6693
萌新曲,,3dd (While I'm Alive - stoker77),While I'm Alive - (Stoker)[STRFKR],,64.38,0,0,,,1.39,0,0,,B33B4F6DC1E9AE98E204BDC78DD26BE51A650D76
萌新曲,,41b (Dangerous Night - greatyazer),Dangerous Night - 30 Seconds to Mars[GreatYazer],,36.393,55.756,78.098,,,0.78,1.2,1.7,,85A675DA674FB13E576F2AC9B61A5ADC767B060A
萌新曲,,41f3 (Magnetism - squeaksies),Magnetism - M2U[squeaksies],36.977,53.216,86.539,160.538,298.132,0.79,1.14,1.87,3.53,6.7,75B10748149340DEA74FF1870B2A59F609ACE7F5
萌新曲,,42 (Icarus - gompasta),Icarus - [Madeon],,,72.254,,,,,1.56,,,BE1A39B41F2089CAD9AA8D775F55E8707447B5CA
萌新曲,,426 (Love Runs Out - radlejr),Love Runs Out - OneRepublic[Radle_jr],35.52,0,0,0,,0.77,0,0,0,,FD77126F3ED9900A045A3625C36E2AAD4C1F4C3E
萌新曲,,439 (Short Change Hero - georgin),Short Change Hero - the Heavy[Georgin],49.436,0,0,0,,1.07,0,0,0,,F40D605585EB597155236104E0829B4DEDDBB8C1
萌新曲,,4413 (Ring Of Fortune (TV Size) - SagittariusFam),Ring Of Fortune (TV Size) - Eri Sasaki[SagittariusFam],,,,112.711,,,,,2.45,,68744C619F4769305BF55C33AB99C013870DC96A
萌新曲,,449a (Fallen (Short Ver.) - Uninstaller),Fallen (Short Ver.) - EGOIST[Uninstaller & Saut],51.498,110.827,166.661,271.56,256.041,1.11,2.4,3.64,6.09,5.74,F369747C6B54914DEAA163AAE85816BA5A8C1845
萌新曲,,44d (Be Alright - orchan),Be Alright - Stonebank[Orchan],,,93.602,0,0,,,2.05,0,0,7837EC982B5C041E77366F8BEF8FC1BC0AAD35C8
萌新曲,,45 (Give It Up - shedd),Give It Up - [Knife Party],,59.449,0,,,,1.28,0,,,9BCFBD06C6CEAC3E4FF44093FBC33AB83587108B
萌新曲,,4502 (Monster - Saut),Monster - Reol[Saut & ManDynasty],,129.512,162.283,226.244,342.71,,2.82,3.55,5.02,7.7,283095490EB5D0AA60B8117BF90D52FBC7D8300F
萌新曲,,450b (FIRST - Saut),FIRST - AKI AKANE[Saut],,120.718,155.565,210.973,354.955,,2.62,3.41,4.66,8,3082BDB176578E683C0B5AE755A7ABAB5FF80363
萌新曲,,459 (Royals (Yinyues Remix) - awfulnaut),Royals (Yinyues Remix) - Lorde[Awfulnaut],,80.206,95.965,99.149,,,1.74,2.09,2.16,,AEE01374C29983B6E7488ED7F649C9F5D7BAD019
萌新曲,,462 (The Nights - rocket),The Nights - [Avicii],,41.932,0,0,,,0.92,0,0,,2C002D2874E029DB43F3C7CF9BB271AE0D769B74
萌新曲,,465 (POP TEAM EPIC - todokete),POP TEAM EPIC - by Sumire Uesaka[Todokete],,49.798,0,0,0,,1.09,0,0,0,65DF0198B8656EC353B9DFD560ECFF7FB852318C
萌新曲,,467a (FREEDOM DiVE - carrot090),FREEDOM DiVE - R3 Music Box[carrot],,,,35.931,,,,,0.77,,A4DB5E8CFB99B835DA0429B5586B15217C3335D7
萌新曲,,46ba (Summer Night Hiking - Uninstaller),Summer Night Hiking - YUC'e[Uninstaller],,,,108.748,188.404,,,,2.37,4.15,967D96E7DFD3EE444071E0A24DCC5FBB5B535266
萌新曲,,48c (The Greatest Show - a1lazydog),"The Greatest Show - The Greatest Showman[Hugh Jackman, Keala Settle, Zac Efron, Zendaya]",31.687,39.86,61.414,89.371,,0.69,0.87,1.36,1.99,,968386B284D9775231EE688C4C0BA7241AB4DEC0
萌新曲,,4a2a (Crying for Rain - squeaksies),Crying for Rain - Minami[squeaksies],34.038,40.911,80.154,124.385,218.123,0.73,0.88,1.73,2.73,4.83,B70AEEF2EE915CED48593422931E8BA2A1F4E973
萌新曲,,4adb (Deja Vu (Short Ver.) - redmagi),Deja Vu (Short Ver.) - Dave Rodgers[Redmagi],44.268,60.014,87.9,122.636,203.047,0.95,1.29,1.92,2.68,4.46,C9C15D3F3109A8F732B41B299CE84556BEBF73AC
萌新曲,,4b7 (Homies Unite - fefeland),Homies Unite - Stuck In Your Radio[FEFELAND],,,,86.459,,,,,1.88,,2F17E5246EA87B15FB83149DD5E59DF03BE60D18
萌新曲,,4bb (Blastix Riotz - mystikmol),"Blastix Riotz - Chart by Mystikmol[Camellia as ""Bang Riot""]",,66.129,0,0,0,,1.45,0,0,0,28D084533B3F69ACB53E611EA383C026A87154AB
萌新曲,,4c6 (Uprising - rustic),Uprising - Muse[Rustic],,,67.415,101.092,,,,1.45,2.19,,00E5671E594A6FE621C3605FCC5A0E4466BA6478
萌新曲,,4d5 (Tetris Effect Trailer - rustic),Tetris Effect Trailer - I'm yours forever[Rustic],,,45.173,49.204,,,,0.97,1.06,,851DAAB7074F65FCB2ED2AC686F6A0CFB460BA61
萌新曲,,4dd (Those Everyday Feels - bakuenjin),Those Everyday Feels - Kevin Penkin[Bakuenjin],,,,89.6,,,,,1.95,,C493DF222EA9A86AEE0FA0AB30495D1938F93144
萌新曲,,4e10 (Ether Strike - fraies),Ether Strike - Akira Complex[Various Mappers],0,0,92.48,197.943,260.682,0,0,2,4.36,5.85,E1AE03504B1E23AA44CCB194134C84B1BE21C8DA
萌新曲,,4e92 (Shera - iraky),Shera  - MYUKKE[iraky & Hoppaw],58.998,91.573,130.649,221.625,239.826,1.28,1.97,2.86,4.9,5.38,1E86B21402C5EE98F3DB246F218135B3FF61A21A
萌新曲,,4ed (BTH 2 - All I Know - mars),BTH 2 - All I Know - (Charted by M.Rappold[Matrix & Futurebound ft. Luke Bingham],,,,,130.501,,,,,2.85,16A142EEF2298A561AC9A2914680804C0022F1C5
萌新曲,,4f1 (BTH 2 - Reach VIP - mars),BTH 2 - Reach VIP - (Charted by M.Rappold)[Tantrum Desire],,,,,101.919,,,,,2.23,9FC6B409FF4566C74FB38FDB2671F10190566ACC
萌新曲,,4f3 (BTH 2 - Stars - mars),BTH 2 - Stars - (Charted by M.Rappold)[Mark Own - Matrix & Futurebound Remix],,,84.432,135.183,,,,1.83,2.95,,5E439FC5CF3FC37E6EF5D5D2A7ACF68AFDDAE93D
萌新曲,,4f4 (BTH 2 - Watching Me - mars),BTH 2 - Watching Me - (Charted by M.Rappold)[High Maintenance & Mediks ft. Georgina Upton],,,,,103.506,,,,,2.26,A8FA6782C467F04EB4F27F0644C5BD94F48E9CDB
萌新曲,,50e (Boomerang - wulkanat),Boomerang - [Smash Into Pieces],,,65.866,0,,,,1.47,0,,B18C86ACE7415D27D48162A7EAFEF40F03A1869D
萌新曲,,5130 (Saint's Beat - ejiejidayo),Saint's Beat - Zeami[ejiejidayo],,,94.733,178.445,314.477,,,2.05,3.92,7.03,0597F8F7D8E396EBFEF511DC9EC98B69635CE532
萌新曲,,514 (Color Pulse - purphoros),Color Pulse - Splatoon OST[Purphoros],,,,88.098,,,,,1.91,,0A57D66307FE777A03A1281B0A40F716B188FCAB
萌新曲,,54a (First Layer - bakuenjin),First Layer - Kevin Penkin[Bakuenjin],,,,74.224,,,,,1.61,,DF2039F7F39CB39459C984C88D713F0F1691B330
萌新曲,,551 (Friend Like Me - katiedead),Friend Like Me - Aladdin OST[Robin Williams],44.625,54.415,0,0,0,0.96,1.17,0,0,0,F8B7871978EF1D32FD559E5AACC825168E84C62E
萌新曲,,554 (Time To Say Goodbye - hudzell),Time To Say Goodbye - ft. Casey Lee Williams[Jeff Williams],,,,,182.656,,,,,4.01,60DBD91B8D38DE792614A847FFE1D8E227597EB8
萌新曲,,570 (Mr. Blue Sky - greatyazer),Mr. Blue Sky - Electric Light Orchestra[GreatYazer],,67.624,0,0,,,1.46,0,0,,236173D5BA7DC379D480B9CB5FB6B4FA5ABE77DA
萌新曲,,57c (Zzz - todokete),Zzz - by Sasaki Sayaka[Todokete],,52.219,73.466,103.135,,,1.13,1.6,2.26,,F15082586D31D238CFC33730C7D4A9BCE4594D35
萌新曲,,57c2 (Rockefeller Street (Nightcore) - RinkuSenpai),Rockefeller Street (Nightcore) - Getter Jaani[RinkuSenpai],,,139.785,200.449,,,,3.06,4.39,,B8C98FFC598703AADB4A3CB921D2830D270B57A5
萌新曲,,57e (When Can I See You Again - purphoros),When Can I See You Again - Owl City[Purphoros],,,,62.566,85.836,,,,1.35,1.86,FE387C4C7B03326139A5144ED21C4A02774B5DD9
萌新曲,,58e (History Maker - awfulnaut),History Maker - Dean Fujioka[Awfulnaut],,81.955,0,0,,,1.77,0,0,,998F9B0A3E8B85AD697E8A7AA2C8B7D1F70936CE
萌新曲,,597 (Buttonmasher - moriik),Buttonmasher - chart by Moriik[Virtual Riot],,48.821,47.513,0,,,1.06,2.05,0,,EB74B91F52762FD9010F93B4A9CC98BBDA4B91E4
萌新曲,,5a0 (Gladiator - rustic),Gladiator - Zayde Wolf[Rustic],,28.347,47.281,72.717,,,0.61,1.01,1.56,,9811E3EAEB31CB5903CCF76D49452299AD24F4A3
萌新曲,,5b0 (aLIEz - bakuenjin),aLIEz - Sawano Hiroyuki[Bakuenjin],,,,101.849,,,,,2.23,,AA0A150D83B499C8BECC3BEDA1C17AC4D9D97D40
萌新曲,,5b2e (volcanic - Souk & Hexagonial),volcanic - DETRO[Souk & Hexagonial],,162.316,228.384,352.041,0,,3.54,5.04,7.86,0,D8E8ED7E0661BAAD0C0E53F9720D557456E365DE
萌新曲,,"5b6 (No, Thank you! - squeaksies)","No, Thank you! - K-On[Ho-kago Tea Time]",,,0,104.659,0,,,0,2.3,0,B1F7C08CD0CDC4C546C8E41386F75B70CDA4C08A
萌新曲,,5c0 (Light It Up - brhkim),Light It Up - Major Lazer feat. Nyla & Fuse ODG[brhkim],,,88.387,0,,,,2.05,0,,BB84A61400AE0F83A75E7FE6D887D5B0FC3569B1
萌新曲,,5d9f (Dreamin' Tonight - Yun0),Dreamin' Tonight - Freezer (Feat. Kiichigo)[Yun0],,71.249,96.478,150.401,214.529,,1.54,2.1,3.29,4.73,3F729EE74DB0D1F3807524C99A5D81C0EF81D800
萌新曲,,5f00 (166 - Suzuya Homerarete Nobiru Type Nandesu. - Pug),166 - Suzuya Homerarete Nobiru Type Nandesu. - saradisk[Pug],,,47.912,108.753,260.566,,,1.03,2.37,5.77,839245D64719D018E40E2F11654B7C49230CA126
