目录名称,新目录,歌曲目录名称,歌曲名称,PP值-容易,PP值-通常,PP值-困难,PP值-专家,PP值-噩梦,难度-容易,难度-通常,难度-困难,难度-专家,难度-噩梦,hash
大佬包,,92ba (KISS OF DEATH - Scrappy),KISS OF DEATH - Mika Nakashima[Scrappy],,,,122.974,297.259,,,,2.68,6.51,ECADB8F66CEDAF7501167FB69A54E47183D39EE5
大佬包,,9332 (USAO - Jez),USAO - DJ Genki[Jez],,,,,366.255,,,,,8.21,B81DFF86A58DA265847BD3F0E4802709A319326D
大佬包,,9484 (Bassdrop Freaks - muffn & Saut),Bassdrop Freaks - Camellia feat. Nanahira[muffn & Saut],,,,314.266,404.334,,,,6.97,9.04,87295CA56A0652C2DE062BB5BAE64C7804DD6C5C
大佬包,,948a (Kill The Beat - simplymarvellous),Kill The Beat - lapix[simplymarvellous],,,151.156,190.515,311.226,,,3.29,4.17,6.9,5183C321719C2B93FCA26AA2EF0463F2E22FE9F5
大佬包,,9924 (Garakuta Doll Play - DE125),Garakuta Doll Play - t+pazolite[DE125],,,,,471.434,,,,,10.63,790735D0DA9B1FD59A0C6FEE32A394539556E5F3
大佬包,,992c (Space Battle - Fnyt),Space Battle - F-777[Fnyt],,,,,351.478,,,,,7.83,A3696DE1A0DAA121CC195DD409B0D35CC98900E7
大佬包,,995e (VECTLEGGENDARIA - Vilawes),VECTLEGGENDARIA - Rotteen[Vilawes],,,161.904,335.549,487.347,,,3.55,7.42,11.06,1C09E823E2B9720E573EA46C53C62EDAAAD51665
大佬包,,996f (Weapon - ExUnReal),Weapon - Grant[ExUnReal],0,,,190.534,327.142,0,,,4.18,7.25,B599483C0C01992DAD3C93BE6CF40644E54227C6
大佬包,,9978 (toromi hearts 2 - Souk & fraies),toromi hearts 2 - goreshit[Souk & fraies],,,247.708,354.013,414.729,,,5.42,7.97,9.51,3B439C16DFC546EDC6B41A07B0DD33908986A087
大佬包,,998f (Darkness Overload - zilianthegreat & ExUnReal),Darkness Overload - Camellia[zilianthegreat & ExUnReal],0,,,,367.901,0,,,,8.2,BA6DF1305EBEB38C4B406E9410A33B225A8A153C
大佬包,,999e (Twisted Drop Party - abcbadq),Twisted Drop Party - t​+​pazolite & Getty[abcbadq],,,220.677,334.939,390.014,,,4.86,7.5,8.81,F4EA5B4B5B6004EBAD86FABFB96409315DC621C3
大佬包,,9a3d (Rasen Hikou - LemoNade),Rasen Hikou - Omoi[LemoNade],,,,,354.636,,,,,7.85,A6BCB9BEDCAD2A6F636D8051C089B4B63CC0043A
大佬包,,9ab1 (Affiliate Requiem - Vilawes & Skeelie),Affiliate Requiem - Kobaryo[Vilawes & Skeelie],,,210.389,362.933,505.727,,,4.66,8.09,11.66,B9BED84A127130BF80AFF18DB677EDD215CE0AB5
大佬包,,9ab2 (REVIVER - CoolingCloset & LompL Allimath),REVIVER - MY FIRST STORY[CoolingCloset & LompL Allimath],,,,,372.541,,,,,8.32,D2672C7A840ABA695C6D4D5A177BC00CFEF64300
大佬包,,9ae3 (Quaoar (For Thanks Follower 50k) - Checkthepan),"Quaoar (For ""Thanks Follower 50k"") - Camellia[Checkthepan]",,,,,352.729,,,,,7.85,E5BE675E27AB90D726F5F72C48E8490DFCD51FC9
大佬包,,9afa (Figue Folle - Vilawes),Figue Folle - Igorrr & Ruby My Dear[Vilawes],,,,,382.67,,,,,8.57,CFCC48A3FA60B81B2C7678D443DF9E2E4F8AD5A1
大佬包,,9afd (Glitched Character - Scrappy),Glitched Character - Kobaryo[Scrappy],,,,,416.111,,,,,9.27,AE3253705F17262E0A4E2574A34AB64B6BD9450D
大佬包,,9b01 (ouroVoros - Vilawes),ouroVoros - Negentropy(Team Grimoire)[Vilawes],,,112.966,196.621,366.945,,,2.45,4.35,8.21,55A2C1D457568C55AA06B3B3FC5BE614A1FB3990
大佬包,,9b09 (QZKago Requiem - Schwank),QZKago Requiem - t+pazolite[Schwank],,212.261,374.36,472.292,0,,4.67,8.3,10.71,0,A3BFE1A6CC95ADBA6F5541338264F40235F1D5F4
大佬包,,9b0e (Nisemono Chuuihou - Rune & TheRealZeroz),Nisemono Chuuihou - B-ko[Rune & TheRealZeroz],,,,,450.627,,,,,10.23,F102C77F848203C7A5F472B96B177A13CD09B886
大佬包,,9b31 (Sankaku - Skeelie),Sankaku - appy[Skeelie],,,105.237,164.478,273.067,,,2.28,3.6,6.04,84D312AB353BD305E85D7D330A5B02C3FBF059FD
大佬包,,9b36 (Ill - carrot),Ill - a crowd of rebellion[carrot],,,,,373.818,,,,,8.33,26581526580FB65E6D3905EB5E132AD8DDA58683
大佬包,,9b91 (Guchagucha Coke Screw - Vilawes & Depito),Guchagucha Coke Screw - t+pazolite[Vilawes & Depito],,,268.969,415.041,447.109,,,5.92,9.28,9.99,EB19A1155094C0A34FAF1D729F5C74E25FE7FE5B
大佬包,,9bab (Sad Spring - Scrappy),Sad Spring - Draw The Emotional & Foreground Eclipse[Scrappy],52.986,64.562,130.471,226.031,348.232,1.13,1.39,2.83,4.96,7.81,83799EA6C53ACB1EF0ADF4E79DA70AD789176896
大佬包,,9c01 (The Devil - Fern),The Devil - Aether Realm[Fern],,,,,414.54,,,,,9.27,88FACAFBED5F0886471DD92AFF0B30EECCCFD4FE
大佬包,,9c17 (Nanamori - Depito & ExUnReal),Nanamori - Kotori[Depito & ExUnReal],0,,173.609,235.379,390.906,0,,3.78,5.19,8.69,558FD3C73D5F7E5BBBF1616760E099EBCFD75903
大佬包,,9c22 (Galaxy Friends - Jez),Galaxy Friends - Kobaryo[Jez],,,,,494.243,,,,,11.17,28BDD9211BD4CD76E2D2FB8A32245DBB7F38F7AB
大佬包,,9cd5 (Senseless Massacre - Burchase),Senseless Massacre - Rings of Saturn[Burchase],,,,,472.248,,,,,10.7,1C0DF30696959676B3EA77D3FB6DF455025E9583
大佬包,,9e5c (We Could Get More Machinegun Psystyle! (And More Genre Switches) - DE125),We Could Get More Machinegun Psystyle! (And More Genre Switches) - Camellia[DE125],,,,,519.257,,,,,11.77,D7D1C76F5F74510D4E70B51A105D2BEBE194BEFD
大佬包,,a063 (Weeble Wobble VIP - +1 Rabbit),Weeble Wobble VIP - Eliminate[+1 Rabbit],,,134.593,247.505,341.574,,,2.92,5.44,7.59,6F6566885D6FBFF5164DC8AD785A9F25DC8DA2DF
大佬包,,a066 (FIRSTDREAMS - muffn & altrewin),FIRST:DREAMS - uma vs. Morimori Atsushi[muffn & altrewin],,,212.858,342.556,490.842,,,4.67,7.6,11.12,3F97C2436882538C7B482E87A5E97B9F14EDCB69
大佬包,,a069 (Press Start - muffn),Press Start - MDK[muffn],,,,,393.69,,,,,8.84,67BB0D3F7B8E46968C7A4F4346DEE5F9D8EFFD09
大佬包,,a2de (The Government Knows - Ramen Noodle),The Government Knows - KNOWER[Ramen Noodle],,,312.157,327.872,313.875,,,6.89,7.25,6.92,237109CFBDF4594DE63BD16C52A18204D85AD778
大佬包,,a3d8 (The Mob - EpicEwok),The Mob - RIOT[EpicEwok],,,,,327.062,,,,,7.32,FFA96E9D11E1D2112C79E6A79112501B9295FB09
大佬包,,a460 (Takoyaki - Vilawes),Takoyaki - Ultra Vomit[Vilawes],,,154.839,294.111,403.479,,,3.37,6.48,8.98,92BAA4CE632807E5834D084954B1D726CEF29ED4
大佬包,,a49b (Hold Angel - Rogdude),Hold Angel - you[Rogdude],0,0,167.676,363.774,489.253,0,0,3.64,8.07,11.06,805220F74ECB8FFFD9930ABCF4AB601E90E5751E
大佬包,,a53d (Stealth-Dash - Umbranox),Stealth-Dash - Camellia[Umbranox],,,,,376.34,,,,,8.42,34EF2837078373941A14D568B1E3ED1FDA71F079
大佬包,,a544 (G4M3-0V3R - shrado & abcbadq),G4M3-0V3R - Kobaryo[shrado & abcbadq],,133.25,202.819,384.232,436.092,,2.9,4.46,8.68,10.32,3FFA62BD196370D7CD0AD9817EFB11D5633706D9
大佬包,,a54c (Galaxy Collapse - Skeelie),Galaxy Collapse - Kurokotei[Skeelie],,,270.752,360.624,0,,,5.92,7.99,0,CB24CE05B6D0994586E2D4FBE999B304CF8F9D67
大佬包,,a951 (CANDYYYLAND - Animinay),CANDYYYLAND - tofubeats[Animinay],,89.922,127.434,307.705,362.812,,1.94,2.77,6.81,8.11,1D10B6B5A6FF9007621716C04389D63458420929
大佬包,,e27 (Blue Zenith - bananentropfen),Blue Zenith - [xi],,,,,315.472,,,,,7.05,D3A0DE31EBE3B61D3328D03A0E82C4152A9BE5A8
大佬包,,e4d (Ange du Blanc Pur - hexagonial),Ange du Blanc Pur - ke-ji feat. Nanahira[Hexagonial],,,,,328.346,,,,,7.36,AEB177797284C67D7763FA820084449B483D2748
大佬包,,e55 (Cycle Hit - hexagonial),Cycle Hit - KASAI HARCORES[Various Mappers],,,,0,280.465,,,,0,6.48,8C51D94E3E247DF86A4C7113E9FDBCC434A56F4B
大佬包,,fa3 (Deadly Nostalgia - ruckus),Deadly Nostalgia - Zemeth[Ruckus],,,,,248.685,,,,,5.59,CA4F921E9FB576192203CEB7FCAF54E230055591
萌新曲,,1 (me & u - datkami),me & u - [succducc],,,129.501,,,,,2.81,,,FDA568FC27C20D21F8DC6F3709B49B5CC96723BE
萌新曲,,107b (Our Wrenally - Kizuflux),Our Wrenally - Chart by Kizuflux[t+pazolite],53.731,79.305,0,0,0,1.15,1.72,0,0,0,29F3A85E05D579E48AAFA670F4D8B8635ADB1805
萌新曲,,1084 (Conqueror - novashaft),Conqueror - AURORA[NovaShaft],,,93.293,118.961,,,,2.02,2.59,,65D94D402E22AF95E95E69F38D41B05881E96AAF
萌新曲,,10de (Mirror Night - squeaksies),Mirror Night - V.K[squeaksies],,,,117.226,,,,,2.6,,CB583CF25D1623E0D1BB8A4AAE9795DB40E6BFEF
萌新曲,,10f (Gerudo Valley METAL - atlasentity),Gerudo Valley METAL - [Machinae Supremacy],,34.104,51.255,0,,,1.18,1.5,0,,2DE36009613E11C00380D71C70A42189A2E5BBDB
